yield,NDVI,NDRE,EVI,SAVI,FAPAR,LAI,VH,VV,entropy,alpha,RVI,Rfcum,RH,solarrad,GDD,CC,nitro,pH,OC
3120,0.0211336,0.00861593,0.0794496,0.195583919,0.500625,0.636004,-15.8584,-6.49443,0.693227,18.886,0.65119,3.12901,70.2739,13646300,2499.948747,384,2.68,7,32.5
2989,0.0251466,0.0856876,0.110914,0.190413688,0.385,0.43183,-17.8357,-14.1465,0.687249,18.5192,0.448985,3.17578,70.1751,13572800,2473.465929,387,2.86,7,34.6
3123,0.029109,0.0396441,0.0384339,0.105108921,0.3875,0.111827,-16.8687,-15.6903,0.725793,21.2304,0.596122,3.15936,69.867,13572800,2473.465929,387,2.87,7,36.6
5236,0.033881,0.0675453,0.0919294,0.151007489,0.368125,0.239071,-16.2877,-8.95368,0.662579,18.4246,0.560199,3.11607,70.3614,13854700,2508.902605,364,2.86,6,34.4
3152,0.0354708,0.0483185,0.0717039,0.238410596,0.306875,0.204765,-15.8432,-14.0436,0.602133,15.6559,0.494925,3.16045,70.2031,13646300,2499.948747,395,2.87,7,35
2030,0.0497108,-0.00923102,0.0814188,0.272384448,0.311875,0.249342,-14.8738,-22.4228,0.592264,15.562,0.354469,3.15207,70.166,13646300,2499.948747,372,2.4,7,30.5
4565,0.0588264,-0.0242088,0.0598999,0.282891197,0.38875,0.181322,-17.3342,-14.866,0.630749,17.7632,0.618817,3.13307,70.0351,13667300,2514.984148,365,2.72,7,32.4
4026,0.0612348,0.0724509,0.0572713,0.285781524,0.353125,0.222209,-16.1608,-19.1729,0.670219,18.0892,0.626648,3.15207,70.166,13646300,2499.948747,375,2.44,7,30.5
4069,0.0639842,0.122658,0.106104,0.206829479,0.314375,0.216469,-16.2706,-12.2793,0.643551,17.2636,0.620298,3.15805,70.1837,13646300,2499.948747,383,2.57,6,30.7
4087,0.0646887,0.0808639,0.0990136,0.320871752,0.3725,0.25301,-20.4119,-10.3552,0.668809,20.2514,0.529567,3.1383,69.9174,13575000,2473.961183,379,2.72,7,30.8
3154,0.06734,0.061732,0.0587346,0.170750988,0.495,0.132248,-15.613,-20.2282,0.721551,21.183,0.660837,3.16185,69.7874,13572800,2473.465929,380,2.64,7,32.1
6953,0.0693969,0.0227709,0.0808625,0.135077845,0.43,0.167143,-14.5458,-11.5222,0.679871,19.0011,0.82242,3.16162,70.1243,13646300,2499.948747,407,2.24,7,31
4635,0.071552,0.027769,0.0382971,0.117006681,0.351875,0.0996589,-20.0921,-15.0192,0.692015,19.6204,0.74264,3.17578,70.1751,13572800,2473.465929,364,2.66,7,34.9
3100,0.0787831,0.0705424,0.0765724,0.26143165,0.406875,0.252502,-16.6933,-13.2982,0.621502,15.4067,0.486967,3.13122,70.2089,13667300,2514.984148,374,2.48,7,30.2
6596,0.0795963,0.0476383,0.097022,0.20518341,0.434375,0.249226,-23.2059,-9.10082,0.695585,20.6322,0.913304,3.15039,69.8394,13572800,2473.465929,407,2.24,7,31
2756,0.0873591,0.0271691,0.0590228,0.226859809,0.453125,0.23175,-15.6757,-12.8957,0.716033,20.1061,0.55272,3.13287,70.2227,13646300,2499.948747,389,2.48,7,30.3
2989,0.0896483,-0.0545524,0.0313425,0.121196085,0.321875,0.113354,-18.2742,-12.3673,0.662893,18.2969,0.689187,3.13716,70.0377,13667300,2514.984148,376,2.8,7,31
3195,0.104447,0.0123539,0.0829159,0.311076487,0.353125,0.262106,-16.4905,-15.9495,0.573945,15.6032,0.539847,3.15207,70.166,13646300,2499.948747,368,2.45,7,32.1
4300,0.105657,-0.0399563,0.0405902,0.201153371,0.378125,0.196237,-17.7824,-21.3473,0.66858,19.2572,0.627167,3.17114,69.807,13572800,2473.465929,385,2.52,7,34.7
4356,0.105778,0.0699296,0.0929579,0.294305955,0.414375,0.290911,-14.9178,-9.74911,0.680893,18.5378,0.580517,3.13156,70.0164,13667300,2514.984148,383,2.65,7,38.3
4375,0.118437,0.110938,0.120106,0.295494237,0.328125,0.358794,-15.5435,-19.0196,0.659537,18.115,0.706361,3.15663,70.0752,13646300,2499.948747,363,2.69,6,29.8
4963,0.118728,0.0968592,0.108261,0.339728168,0.324375,0.335384,-16.9882,-8.9128,0.654357,17.4406,0.570498,3.13811,69.9584,13575000,2473.961183,373,2.37,6,31.4
3256,0.118851,0.0560168,0.110358,0.297506538,0.35125,0.28943,-16.2306,-11.2086,0.644759,17.3473,0.395251,3.13247,69.9258,13575000,2473.961183,390,2.54,6,34.3
3689,0.122905,0.0885174,0.0994843,0.269893238,0.351875,0.233877,-16.3149,-21.6099,0.62471,16.5213,0.554325,3.13639,70.0755,13667300,2514.984148,396,2.88,7,36.5
3256,0.124021,0.0937595,0.127095,0.221106968,0.434375,0.474798,-17.9354,-10.2814,0.704415,19.3332,0.747842,3.15321,69.8747,13572800,2473.465929,388,2.5,7,34.8
3736,0.12446,0.228542,0.175014,0.59758663,0.431875,0.525432,-15.1665,-7.54578,0.686863,19.0878,0.646343,3.16329,69.7253,13572800,2473.465929,340,3.4,6,37.8
3724,0.130867,-0.012848,0.0809405,0.361681329,0.415,0.293606,-14.7982,-9.36604,0.598385,15.9679,0.450272,3.13104,70.2494,13667300,2514.984148,366,2.31,7,29.6
4523,0.133643,-0.0474007,0.0398133,0.284529986,0.414375,0.264655,-16.2795,-8.52568,0.646271,16.2905,0.556065,3.13156,70.0164,13667300,2514.984148,420,2.38,7,34.6
5963,0.144765,0.00428585,0.0982442,0.435905429,0.37375,0.346775,-14.6411,-17.3635,0.731441,20.9145,0.886136,3.13371,69.9929,13667300,2514.984148,393,2.63,7,34.5
3756,0.146697,0.0914102,0.144189,0.613697006,0.40125,0.503094,-13.6272,-16.0203,0.644381,16.9704,0.606262,3.13283,70.1785,13667300,2514.984148,366,2.65,6,34.2
6100,0.151993,0.0906589,0.135867,0.401395857,0.47625,0.399991,-14.3505,-19.6797,0.662467,19.7955,0.822509,3.15575,69.9675,13572800,2473.465929,391,2.53,7,32.5
5152,0.156406,0.152808,0.16543,0.376999238,0.34,0.416251,-18.6734,-7.88277,0.626039,17.7236,0.540113,3.13968,70.0245,13667300,2514.984148,368,2.51,6,30.4
